income,age,employment_years,debt_to_income_ratio,credit_history_months,previous_defaults,loan_amount,num_credit_accounts,monthly_expenses,savings_balance,monthly_income,disposable_income,loan_to_income_ratio,credit_experience,savings_to_income_ratio,age_employment_ratio,creditworthy
59934.283060224654,47,11,0.2422571575847674,43,1,40709.5818726401,1,1882.2407927922584,4196.665134441729,4994.5235883520545,3112.282795559796,0.6792369874806592,3.5833333333333335,0.07002111179380809,0.23404255319148937,1
47234.713976576306,48,37,0.20348799455531252,119,0,25582.855308514314,3,2570.154851502817,7137.423300026112,3936.226164714692,1366.071313211875,0.5416113098769022,9.916666666666666,0.15110546246909762,0.7708333333333334,1
62953.77076201385,55,18,0.9545538424175,61,0,12989.065369954624,5,3527.7999299607304,23406.24874857653,5246.147563501155,1718.3476335404243,0.20632704304651744,5.083333333333333,0.37180058422647816,0.32727272727272727,0
80460.5971281605,28,6,0.9185216027705179,143,1,20551.049526709296,9,736.1781217549878,853.6545272684668,6705.049760680042,5968.871638925054,0.25541756164169216,11.916666666666666,0.010609597215749413,0.21428571428571427,0
45316.93250553328,52,34,0.04699250100311747,107,0,24746.94439437848,3,3028.995291911654,11044.52083928721,3776.4110421277733,747.4157502161192,0.5460860439165169,8.916666666666666,0.24371730893168142,0.6538461538461539,1
45317.26086101639,25,17,0.33881302160484816,182,0,34828.171994183576,9,4044.967086950781,141.81367437957397,3776.438405084699,-268.528681866082,0.7685409782598771,15.166666666666666,0.0031293522972295844,0.68,0
81584.25631014783,20,15,0.40514855367840663,174,0,60700.68173228993,1,3424.4070531913044,9940.051480988417,6798.688025845652,3374.280972654348,0.7440244537074943,14.5,0.12183786346229189,0.75,0
65348.694583058175,31,38,0.23901453466594336,291,0,25819.9690902141,6,1713.7819358582788,8019.190400862153,5445.724548588181,3731.9426127299025,0.39511070963165035,24.25,0.12271385759159678,1.2258064516129032,1
40610.51228130096,77,3,0.6288728969881755,266,0,6537.111530626647,9,1977.731643057817,16706.041000993348,3384.20935677508,1406.4777137172628,0.1609709201732146,22.166666666666668,0.41137232855557,0.03896103896103896,0
60851.200871719295,30,24,0.640380746644241,228,1,1000.0,5,5230.49284899917,7585.660311847274,5070.933405976608,-159.55944302256194,0.0029800394771094495,19.0,0.1246591719338233,0.8,0
40731.64614375075,62,31,0.8505042283285971,204,0,18673.231460076007,2,1593.5297948900197,4348.165784213409,3394.3038453125628,1800.774050422543,0.4584452932291062,17.0,0.1067515358664316,0.5,0
40685.404928594864,49,39,0.7408692683852178,216,0,8078.6815002506955,5,4778.501759588098,2780.6297972349016,3390.450410716239,-1388.0513488718593,0.19856460847395346,18.0,0.0683446509163436,0.7959183673469388,0
54839.24543132068,51,12,0.5425733269659556,292,0,33368.59446308896,1,2068.02707222591,891.0419280034964,4569.937119276724,2501.910047050814,0.6084801897006217,24.333333333333332,0.016248252888880745,0.23529411764705882,0
15000.0,62,16,0.6535867700444199,185,0,33478.835852596225,9,4695.261159058849,7648.852616098948,977.8662589036703,-3717.394900155179,2.853051695273991,15.416666666666666,0.6518318623546075,0.25806451612903225,0
15501.643349739345,78,36,0.2739887815430181,255,0,22810.368515384696,9,3811.6559569350266,21921.348916262716,1291.8036124782786,-2519.852344456748,1.4714806682588428,21.25,1.4141306454861327,0.46153846153846156,0
38754.249415180544,36,5,0.5930561899673576,236,0,34860.796568494065,6,2477.9355504231517,7230.797101775867,3229.5207845983787,751.585234175227,0.899534814750886,19.666666666666668,0.1865807546499267,0.1388888888888889,0
29743.377593311525,76,18,0.48922725474991924,28,1,25971.39021653803,9,500.0,13436.290392409124,2478.614799442627,2128.410150955934,0.8731822784772867,2.3333333333333335,0.45174057150222846,0.23684210526315788,0
56284.94665190548,55,12,0.1333444673163704,53,0,53013.60693052535,3,3597.851551484686,3544.4163707970783,4690.412220992123,1092.5606695074375,0.9418789584786897,4.416666666666667,0.06297272328812069,0.21818181818181817,1
31839.51848957578,33,25,0.24254427658297073,114,0,34391.8741953255,4,3272.3447049529354,5944.443257999097,2653.2932074646483,-619.0514974882872,1.080163137724126,9.5,0.18670016193697467,0.7575757575757576,0
21753.925973294172,19,13,0.29169345072158603,11,1,38434.25614222404,6,3620.8691683478773,3924.549140770548,1812.827164441181,-1808.0420039066964,1.7667733258542473,0.9166666666666666,0.18040647677060465,0.6842105263157895,0
79312.97537843109,57,30,0.924309567052558,43,0,3278.088837696425,4,3809.102235258319,1157.0956206352862,6609.414614869257,2800.312379610938,0.04133105361456268,3.5833333333333335,0.014588982636376476,0.5263157894736842,0
45484.47399026929,34,3,0.23038663938588944,174,0,7431.468291561425,1,1028.8094068885557,5395.485444239213,3790.3728325224406,2761.563425633885,0.16338472537137122,14.5,0.11862257537359881,0.08823529411764706,1
51350.564093758476,72,38,0.28924390281966816,288,1,32182.576391567098,7,3589.9077103673044,14451.412992608304,4279.213674479873,689.3059641125683,0.6267229378981409,24.0,0.2814265675099923,0.5277777777777778,1
21505.036275730865,51,7,0.3693541300894323,208,0,1761.64737690505,5,4113.811011900576,5024.854987381563,1792.0863563109053,-2321.724655589671,0.08191789840843591,17.333333333333332,0.23365945181186584,0.13725490196078433,0
39112.34550949634,59,24,0.663742738625387,278,2,15632.86235687347,8,4096.114031750802,10503.343191287187,3259.362125791362,-836.7519059594397,0.3996912522946972,23.166666666666668,0.2685429128441559,0.4067796610169492,0
